  PID       Vss      Rss      Pss      Uss     Swap    PSwap    USwap    ZSwap  cmdline
  621    12904K    1800K     693K     664K       0K       0K       0K       0K  /system/vendor/bin/pm-service
 1014    11944K    1684K     692K     672K     264K     258K     252K      74K  /system/vendor/bin/qti
  643    18200K    1656K     690K     452K       0K       0K       0K       0K  /vendor/bin/qseecomd
  631     9076K    1776K     683K     644K       8K       8K       8K       2K  /system/bin/thermalserviced
  891    15068K    1756K     683K     660K     508K     504K     500K     145K  /system/bin/installd
  628     4936K    1460K     681K     672K       0K       0K       0K       0K  /system/bin/lmkd
  892    11652K    1836K     675K     632K     260K     256K     252K      73K  /system/bin/keystore
  613     8640K    1760K     668K     604K       0K       0K       0K       0K  /system/bin/healthd
  957    34260K    1952K     647K     616K     312K     308K     304K      88K  /system/bin/wificond
  952    23688K    1892K     641K     600K     432K     430K     428K     123K  /system/bin/netd
  606     7504K    1760K     635K     616K       0K       0K       0K       0K  /vendor/bin/hw/vendor.qti.esepowermanager@1.0-service
  599     8032K    1832K     613K     552K      56K      56K      56K      16K  /vendor/bin/hw/android.hardware.light@2.0-service
  610    14172K    1816K     598K     560K     288K     284K     280K      81K  /vendor/bin/hw/vendor.qti.hardware.perf@1.0-service
  608    10600K    1728K     598K     580K       8K       8K       8K       2K  /vendor/bin/hw/vendor.qti.hardware.factory@1.0-service
  607     7424K    1716K     597K     580K       0K       0K       0K       0K  /vendor/bin/hw/vendor.qti.hardware.alarm@1.0-service
  677    15408K    1628K     593K     564K     304K     304K     304K      87K  /vendor/bin/sensors.qcom
  602     7460K    1756K     578K     532K       0K       0K       0K       0K  /vendor/bin/hw/android.hardware.thermal@1.0-service
  603     7456K    1732K     578K     536K       0K       0K       0K       0K  /vendor/bin/hw/android.hardware.vibrator@1.0-service
  600     7448K    1752K     574K     532K       0K       0K       0K       0K  /vendor/bin/hw/android.hardware.memtrack@1.0-service
  519     5736K    1412K     562K     544K      28K      26K      24K       7K  /system/bin/servicemanager
  591     7408K    1596K     552K     524K       0K       0K       0K       0K  /system/bin/hw/android.hidl.allocator@1.0-service
